"NAME","CATEGORY"
"IIW Certified International Welding Specialist (CIWS)","WELDING"
"IIW Certified International Welding Practitioner (CIWP)","WELDING"
"WTIA Certified Comprehensive Welding Inspector (CCWI)","WELDING"
"WTIA Certified Senior Welding Inspector (CSWI)","WELDING"
"WTIA Certified Welding Inspector (CWI)","WELDING"
"Renewal & Upgrade - CWI, CAWI & SCWI","WELDING"
"Certified Robotic Arc Welding - Operators and Technicians (CRAW. ","WELDING"
"CompTIA A","ICT"
"Cisco Channel Partner Programme","ICT"
"Citrix Certifications","ICT"
"Citrix Certified Administrator (CCA)","ICT"
"Citrix Certified Enterprise Administrator (CCEA)","ICT"
"Citrix Certified Integration Architect (CCIA)","ICT"
"Citrix Certified Advanced Administrator (CCAA)","ICT"
"Citrix Certified Enterprise Engineer (CCEE)","ICT"
"ITIL (IT infrastructure Library)","ICT"
"ITILv2 Courses & Certification","ICT"
"ITILv3 Courses & Certification","ICT"
"Juniper Networks Certified Internet Specialist Service Provider (JNCIS-SP)","ICT"
"Juniper Networks Certified Internet Specialist�Enterprise (JNCIS-ENT)","ICT"
"Juniper Networks Certified Internet Specialist�Security (JNCIS-SEC)","ICT"
"Juniper Networks Certified Internet Professional Service Provider�(JNCIP-SP)","ICT"
"Juniper Networks Certified Internet Professional Enterprise (JNCIP-ENT)","ICT"
"Microsoft Certifications ","ICT"
"MCTS�-�Microsoft Certified Technology Specialist (MCTS) Certifications ","ICT"
"MCITP�- The Microsoft Certified IT Professional (MCITP) Certifications ","ICT"
"MCPD�-��The Microsoft Certified Professional Developer (MCPD) ","ICT"
"MCA�- New!�Microsoft Certified Architect","ICT"
"Nortel Certifications","ICT"
"Nortel Certified Support Specialist (NCSS)","ICT"
"Nortel Support Expert (NCSE)","ICT"
"Nortel Certified Design Specialist (NCDS)","ICT"
"Nortel Certified Design Expert (NCDE)","ICT"
"VMware certifications","ICT"
"VMware Certified Advanced Professional Data Centre Administration (VCAP-DCA)","ICT"
"VMware Certified Advanced Professional�Data Centre Design(VCAP-DCD)","ICT"
"Red Hat Certification Tracks","ICT"
"Cisco Certified Entry Network Technician (CCENT)","ICT"
"Cisco Certified Network Associate (CCNA)","ICT"
"Cisco Certified Design Associate (CCDA)","ICT"
"Cisco Certified Network Professional (CCNP)","ICT"
"CCNP Security - Cisco Certified Network Professional Security","ICT"
"CCNP Voice - Cisco Certified Network Professional Voice","ICT"
"Cisco Certified Internetworking Professional (CCIP)","ICT"
"Cisco Certified Security Professional (CCSP)","ICT"
"Certified Ethical Hacking Certification (exam 312-50)","ICT"
"Juniper Networks Certified Internet Junos Associate","ICT"
"Juniper Networks Certified Internet Professional Security(JNCIP-SEC)","ICT"
"Prince2 Foundation and Practitioner Certification","ICT"
"Cisco Certified Network Professional Wireless","ICT"
"Cisco Certified Voice Professional (CCVP)","ICT"
"Cisco Certified Design Professional (CCDP)","ICT"
"Cisco Certified Design Expert (CCDE)","ICT"
"CCIE Voice - Cisco Certified Internetworking Expert","ICT"
"CCIE Security - Cisco Certified Internetworking Expert","ICT"
"CCIE Routing & Switching","ICT"
"Cisco Certified Internetworking Expert","ICT"
"CCIE Service Provider - Cisco Certified Internetworking Expert","ICT"
"CCIE Storage Networking","ICT"
"CCIE Wireless - Cisco Certified Internetworking Expert","ICT"
"Cisco IronPort Certification","ICT"
"Oracle Certified Professional (OCP)","ICT"
"Oracle Certified Master (OCM)","ICT"
"Oracle Certified Specialist / Expert (OCE)","ICT"
"Linux Professional Institute Certified Level 1 (LPIC-1) ","ICT"
"Linux Professional Institute Certified Level 2 (LPIC-2)","ICT"
"Linux Professional Institute Certified Level 3 (LPIC-3)","ICT"
"CompTIA Linux+ Powered by LPI ","ICT"
"Certified Linux Desktop Administrator (CLDA) ","ICT"
"Novell Certified Linux Professional (CLP)","ICT"
"Novell Certified Linux Engineer (CLE)","ICT"
"Novell Certified Linux Administrator (CLA)","ICT"
"Oracle Linux Certified Administrator ","ICT"
"Security Certified Network Specialist (SCNS)","ICT"
"Security Certified Network Professional (SCNP)","ICT"
"Security Certified Network Architect (SCNA)","ICT"
"SAP Netweaver","ICT"
"SAP CRM Consultant","ICT"
"SAP FICO Consultant","ICT"
"SAP HCM Consultant","ICT"
"SAP PLM consultant","ICT"
"SAP SCM Consultant","ICT"
"SAP SRM Consultant","ICT"
"SAP Architect","ICT"
"SAP Certified Business Analyst","ICT"
"SAP Certified Business Associate","ICT"
"SAP ABAP Developer
","ICT"
"Huawei Certified Network Associate (HCDIA)","ICT"
"API 510-Pressure vessel Inspector","INSPECTION"
"API 570-Piping Inspector","INSPECTION"
"API 653 Aboveground Storage Tank","INSPECTION"
"Icorr Coating Inspector","INSPECTION"
"Icorr CP Specialist(Cathodic Protection)","INSPECTION"
"FROSIO Coating Inspector","INSPECTION"
"NACE Coating Inspector","INSPECTION"
"NACE CP Specialist(Cathodic Protection)","INSPECTION"
"API 1110 Pipe Pressure Test","INSPECTION"
"FRP Tank Inspection","INSPECTION"
"NACE Corrosion Inspection","INSPECTION"
"NDE (Levels ii & iii)","INSPECTION"
"MFL Magnetic Flux Leakage","INSPECTION"
"API 650 Storage Tank Design","INSPECTION"
"STI Aboveground Storage Tank","INSPECTION"
"SPCC Compliance","INSPECTION"
"CFR 195 Compliance","INSPECTION"
"CA Hydrostatic Testing Witness & Compliance","INSPECTION"
"Portable Water Tank Inspector","INSPECTION"
"Waste Water Treatment Tank Inspection","INSPECTION"
"Floating Roof Seal Inspector","INSPECTION"
"Fire Water Tank Inspector  ","INSPECTION"
"N/A","N/A"
"Engineering Licencing","LICENCING"
"Marine Licencing","LICENCING"
"Chartered Institute of Procurement & Supply (CIPS) UK","SUPPLY CHAIN MANAGEMENT"
"Nigerian Chartered Institute of Procurement & Supply (NCIPS)","SUPPLY CHAIN MANAGEMENT"
"Member of the Australian Institute of Policing(MAIPOL)","HUMAN RESOURCES MANAGEMENT"
"Fellow of the Australian Institute of Policing(FAIPOL)","HUMAN RESOURCES MANAGEMENT"
"Certified Police Practitioner (CPP)","HUMAN RESOURCES MANAGEMENT"
"Chartered Institute Of Personnel Management","HUMAN RESOURCES MANAGEMENT"
"The Nigerian Society of Engineers NSE","ENGINEERING"
"The Nigerian Institution of Electrical and Electronic Engineers NIEEE","ENGINEERING"
"Council for the Regulation of Engineering in Nigeria COREN","ENGINEERING"
"NSE","	 BOSIET & CA-EBS, ASNT,HVAC, COREN, NSE, Certification in Non-Destructive Testing (NDT)"
"ICAN","The Association of Chartered Certified Accountant (ACCA)"
"ACCA","The Association of Chartered Certified Accountant (ACCA)"
"Professional","COREN/NSE, SAP-PM"
"Chartered Institute of Environmental Health (CIEH)","HEALTH SAFETY AND ENVIRONMENT "
"Institute of Industrial Security and Safety of Nigeria (IISSN)","HEALTH SAFETY AND ENVIRONMENT "
"Safety Management","HEALTH SAFETY AND ENVIRONMENT "
"HSE","	 COREN, HSE, BOSIET, MIST, HUET, experience in upstream Exploration & Production projects with emphasis on Design and Execution in Deepwater environment."
"Fire Aid & CPR MARTPT-197","Fire Aid & CPR MARTPT-197"
"Basic Fire Fighting MARTPT-53","Basic Fire Fighting MARTPT-53"
"Personal Safety & Social Responsibility MARTPT-359","Personal Safety & Social Responsibility MARTPT-359"
"Personal Survival Techniques course MARTPT-363","Personal Survival Techniques course MARTPT-363"
"Marine Technology 1500 Hours of Training","Marine Technology 1500 Hours of Training"
