"ID","NAME"
37,"People Management"
41,"Commissioning skills"
14,"Codes and Standards compliance"
20,"Discipline Design Standards, Writing"
21,"Discipline Specifications, Writing"
24,"Coaching"
25,"Seismic Equipment Operation"
27,"Sampling and Preservation of water columns"
29,"Controlled amplitude and controlled phase processing (geophysical data)"
32,"Acquisition Safety and Environmental Management"
33,"Site Investigation Field operations"
35,"Problem Solving"
36,"Mentoring"
43,"Supervising and Coordinating"
