"ID","NAME","SERVICE_CATEGORY_ID","SERVICE_CATEGORY_NAME"
41820,"Local Freight, Clearing and Forwarding",38602,"CONSULTANCY SERVICES"
41889,"Fiscalization and Cargo Survey Services",41836,"DATA MEASUREMENT SERVICES"
41891,"Ullage, Cargo Survey Services",41836,"DATA MEASUREMENT SERVICES"
41894,"Ullage, Fiscalization Services",41836,"DATA MEASUREMENT SERVICES"
41915,"Diving and Underwater Inspections",41911,"DIVING SERVICES"
41939,"Underwater Inspections and Associated Services",41911,"DIVING SERVICES"
41948,"Underwater Inspections, Hyperbaric and Associated Services",41911,"DIVING SERVICES"
42108,"Directional Drilling and Well Logging",42059,"DRILLING SERVICES"
42113,"Directional Drilling and MWD/LWD",42059,"DRILLING SERVICES"
42126,"Directional Drilling and Surveying",42059,"DRILLING SERVICES"
42129,"Downhole and Fishing Tools",42059,"DRILLING SERVICES"
42134,"Drilling Services, Chemicals Supply",42059,"DRILLING SERVICES"
42136,"Drilling Services, Chemicals and Materials Supply",42059,"DRILLING SERVICES"
42165,"Drilling Services, Mud Solids Control",42059,"DRILLING SERVICES"
42168,"Drilling Services, Workover Services",42059,"DRILLING SERVICES"
42206,"Drilling Services, Drilling Rig Hoisting and Operation",42059,"DRILLING SERVICES"
42214,"Drilling Support Services",42059,"DRILLING SERVICES"
42218,"Drilling Support Services, Mud Logging and Wireline Services",42059,"DRILLING SERVICES"
42221,"Drilling Support Services, Production Testing, Modular Gas Conversion",42059,"DRILLING SERVICES"
42223,"Drilling Support Services, Well Completion/Filtration",42059,"DRILLING SERVICES"
42229,"Drilling Tools Rentals and Machine Shop Services",42059,"DRILLING SERVICES"
42232,"Drilling/Production Chemicals and Materials Supply",42059,"DRILLING SERVICES"
42238,"Filtration Services",42059,"DRILLING SERVICES"
42246,"Integrated Coring Services, Down Hole Tools Supply/Rentals",42059,"DRILLING SERVICES"
42272,"Mud Logging and Well Logging",42059,"DRILLING SERVICES"
42277,"Mud Logging, Well Logging and Cementation",42059,"DRILLING SERVICES"
42279,"Mud Logging, Well Logging and Wireline Services",42059,"DRILLING SERVICES"
42282,"Natural Gas Treatment and Conditioning",42059,"DRILLING SERVICES"
42288,"Oil Well Drilling",42059,"DRILLING SERVICES"
42293,"Oil Well Testing",42059,"DRILLING SERVICES"
42296,"Open Hole, Cased Hole and Perforating Wireline/Slickline",42059,"DRILLING SERVICES"
42311,"Production Test, Filtration and Completion",42059,"DRILLING SERVICES"
42313,"Provision of Casing and Tubing Running Services",42059,"DRILLING SERVICES"
42320,"Rig Maintenance",42059,"DRILLING SERVICES"
42327,"Slickline Services",42059,"DRILLING SERVICES"
42344,"Supply of Drilling Bits",42059,"DRILLING SERVICES"
42407,"Surface Well Testing and Surface Sampling Services",42059,"DRILLING SERVICES"
42415,"Well Cementation and Stimulation",42059,"DRILLING SERVICES"
42458,"Wireline and Wellhead Maintenance",42059,"DRILLING SERVICES"
42470,"Wireline Services, MWD/LWD",42059,"DRILLING SERVICES"
42497,"Installation and Maintenance of OCTG Pipes and Related Support Services",42491,"DRILLING/PRODUCTION SERVICES"
42503,"Casing and Tubular Running Services",42491,"DRILLING/PRODUCTION SERVICES"
42511,"Drilling Services, Fluid and Engineering",42491,"DRILLING/PRODUCTION SERVICES"
39862,"Civil Services (0 - 50,000 Man Hours)",38602,"CONSULTANCY SERVICES"
39872,"Community Affairs Relations (Training and Development)",38602,"CONSULTANCY SERVICES"
39878,"Community Development/Relations",38602,"CONSULTANCY SERVICES"
39904,"Data Management Services ",38602,"CONSULTANCY SERVICES"
39913,"Engineering Services",38602,"CONSULTANCY SERVICES"
39916,"Engineering Services (0 - 50,000 Man Hours)",38602,"CONSULTANCY SERVICES"
40123,"Estate Management Services (Surveying and Valuation)",38602,"CONSULTANCY SERVICES"
40131,"Estate Management Services (Surveying and Valuation)",38602,"CONSULTANCY SERVICES"
40134,"Estate Management Services (Surveying and Valuation)",38602,"CONSULTANCY SERVICES"
40139,"Facilities Management",38602,"CONSULTANCY SERVICES"
40142,"Facilities Management (Buildings)",38602,"CONSULTANCY SERVICES"
40155,"Fixed Assets Verification",38602,"CONSULTANCY SERVICES"
40158,"Freight, Clearing and Forwarding Services",38602,"CONSULTANCY SERVICES"
40189,"Furnishing and Interior/Exterior Decoration",38602,"CONSULTANCY SERVICES"
40204,"Geotechnical Services ",38602,"CONSULTANCY SERVICES"
40207,"Geotechnics and Geoenvironment",38602,"CONSULTANCY SERVICES"
40210,"Government Affairs",38602,"CONSULTANCY SERVICES"
40216,"Horticulture and Landscaping",38602,"CONSULTANCY SERVICES"
40221,"Horticulture and Landscaping Maintenance",38602,"CONSULTANCY SERVICES"
40227,"Human Resources Solutions (Work Process etc)",38602,"CONSULTANCY SERVICES"
40230,"Information and Communication Technology",38602,"CONSULTANCY SERVICES"
40237,"Information Technology, Hardware and Software Management",38602,"CONSULTANCY SERVICES"
40254,"Information Research and Management Services",38602,"CONSULTANCY SERVICES"
40257,"Information and Communication Technology",38602,"CONSULTANCY SERVICES"
40278,"Information Technology, Hardware and Software Management",38602,"CONSULTANCY SERVICES"
40345,"Information Technology, Hardware and Software Logistics",38602,"CONSULTANCY SERVICES"
41415,"Security Services, Man Guards",38602,"CONSULTANCY SERVICES"
41418,"Security Services, Provision of Man Guards",38602,"CONSULTANCY SERVICES"
41437,"Supply of Office and Household Equipment (Computers and its Accessories)",38602,"CONSULTANCY SERVICES"
41975,"Underwater Inspections, Hyperbaric and Associated Services",41911,"DIVING SERVICES"
41982,"Dredging Services ",41907,"DREDGING SERVICES"
41994,"Dredging Services, Hydraulic Water Channel Maintenance",41907,"DREDGING SERVICES"
42011,"Dredging Services, Water Channel Maintenance",41907,"DREDGING SERVICES"
42019,"Dredging Services, Hydraulic Water Channel Maintenance and Shore Consolidation",41907,"DREDGING SERVICES"
42026,"Dredging Services, Land Reclamation/Shore Consolidation",41907,"DREDGING SERVICES"
42032,"Dredging Services, Shore Consolidation, Land Reclamation and Erosion Control",41907,"DREDGING SERVICES"
42048,"Shore Consolidation and Land Reclamation",41907,"DREDGING SERVICES"
42054,"Supply of Hoists and Operation of Drilling Rigs",42491,"DRILLING/PRODUCTION SERVICES"
42062,"Mud Logging Services",42059,"DRILLING SERVICES"
42065,"Brine Filtration, Chemicals Tools and Water Treatment",42059,"DRILLING SERVICES"
42068,"Brine Filtration, Stimulation, Cementing and Nitrogen",42059,"DRILLING SERVICES"
42071,"Casing and Tubular Running Services",42059,"DRILLING SERVICES"
42077,"Cementation",42059,"DRILLING SERVICES"
42083,"Cementing Services and Liner Hanger Versaflex Services",42059,"DRILLING SERVICES"
42086,"Coiled Tubing, Nitrogen and Simulation Services",42059,"DRILLING SERVICES"
42091,"Core Sample (PVT) Analysis",42059,"DRILLING SERVICES"
42094,"Coring and Well Logging Services",42059,"DRILLING SERVICES"
42102,"Directional Drilling and MWD/LWD",42059,"DRILLING SERVICES"
42105,"Directional Drilling and Borehole Surveying",42059,"DRILLING SERVICES"
42116,"Directional Drilling, MWD/LWD and Gyro Services",42059,"DRILLING SERVICES"
42209,"Drilling Services, Drilling Rig Supply and Tubular Services",42059,"DRILLING SERVICES"
42211,"Drilling Support Services, Well Logging",42059,"DRILLING SERVICES"
42226,"Drilling Support Services, Well Logging",42059,"DRILLING SERVICES"
42235,"Drilling/Production Chemicals and Materials Supply",42059,"DRILLING SERVICES"
42241,"Hoisting, Supply and Operation of Rigs",42059,"DRILLING SERVICES"
42243,"Inspection of Platforms and Rigs",42059,"DRILLING SERVICES"
42248,"Intelligent Well Completion and Logging",42059,"DRILLING SERVICES"
42251,"Machineshop and Pressure Testing Services",42059,"DRILLING SERVICES"
42255,"Material Supplies Drilling",42059,"DRILLING SERVICES"
42258,"Measurement While Drilling, Directional Drilling, Logging While Drilling",42059,"DRILLING SERVICES"
42285,"Oil Well Cementation and Simulation",42059,"DRILLING SERVICES"
42290,"Oil Well Logging, Testing and Cementing, Simulation Coil and Tubing",42059,"DRILLING SERVICES"
42299,"Operation and Maintenance of Floating Production Unit",42059,"DRILLING SERVICES"
42302,"Operation of Drilling Rigs",42059,"DRILLING SERVICES"
42305,"PE Sand Control, Stimulation, Pumping/Operation and Coil Tubing",42059,"DRILLING SERVICES"
42308,"Production Well Testing, Early Production Systems, Surface Sampling, Pressure Control and Well Clean Up",42059,"DRILLING SERVICES"
42316,"Pumping and Cementation",42059,"DRILLING SERVICES"
42318,"Pumping Services, Sand Stimulation/Control (Cementation)",42059,"DRILLING SERVICES"
42322,"Slickline Services",42059,"DRILLING SERVICES"
42324,"Slickline and Logging",42059,"DRILLING SERVICES"
42329,"Supply, Hoisting and Operation of Drilling Rigs",42059,"DRILLING SERVICES"
42347,"Supply of Hoists and Operation of Drilling Rigs",42059,"DRILLING SERVICES"
42349,"Supply of Wellbore Cleaning Tools",42059,"DRILLING SERVICES"
42405,"Surface Well Testing",42059,"DRILLING SERVICES"
42410,"Water Base Mud Treatment",42059,"DRILLING SERVICES"
42412,"Well Bore Clean Up (Borehole Casing)",42059,"DRILLING SERVICES"
42420,"Well Completion Services",42059,"DRILLING SERVICES"
42423,"Well Completion and Workover Activities",42059,"DRILLING SERVICES"
42429,"Well Head Maintenance and Completion",42059,"DRILLING SERVICES"
42432,"Well Logging",42059,"DRILLING SERVICES"
788,"Marine Logistics",2040197,"MARINE SERVICES INSTALLATION"
42434,"Well Logging and Wireline Services",42059,"DRILLING SERVICES"
42436,"Well Logging and Wireline Services",42059,"DRILLING SERVICES"
42447,"Well Logging, Wireline Services and Mud Logging",42059,"DRILLING SERVICES"
42450,"Well Stimulation and Coiled Tubing Services",42059,"DRILLING SERVICES"
42452,"Well Testing",42059,"DRILLING SERVICES"
38639,"Sales and Maintenance of Armoured Vehicles (Without Show Room)",38629,"AUTOMOBILE SERVICES"
38603,"Local Freight, Clearing and Forwarding",38602,"CONSULTANCY SERVICES"
38607,"Supply of Personal Protective Equipment (PPE)",38606,""
38611,"Civil Services and Maintenance",38610,"MAINTENANCE SERVICES"
38616,"Mechanical and Electrical Maintenance Services",38610,"MAINTENANCE SERVICES"
38619,"Minor Mechanical and Civil Maintenance",38610,"MAINTENANCE SERVICES"
38623,"Engineering and Project Management",51261,"TECHNICAL CONSULTANCY SERVICES"
38630,"Car Sales and Maintenance (Without Showroom)",38629,"AUTOMOBILE SERVICES"
38633,"Maintenance of Cars/Vehicles ( Without Show Room)",38629,"AUTOMOBILE SERVICES"
38636,"Sales and Maintenance of Automobiles (Without Showroom)",38629,"AUTOMOBILE SERVICES"
38642,"Sales and Maintenance of Cars/Vehicles (With Showroom)",38629,"AUTOMOBILE SERVICES"
38645,"Sales and Maintenance of Cars/Vehicles (Without Showroom)",38629,"AUTOMOBILE SERVICES"
38664,"Sales, Leasing and Maintenance of Motor Vehicles (With Showroom)",38629,"AUTOMOBILE SERVICES"
38667,"Sales, Services and Maintenance of Cars/Vehicles (With Show Room)",38629,"AUTOMOBILE SERVICES"
38671,"Aviation Logistics",38670,"AVIATION SUPPORT SERVICES"
38690,"Immigration and Logistics",38670,"AVIATION SUPPORT SERVICES"
38693,"Supply and Maintenance of Navigational/Communication Equipment",38670,"AVIATION SUPPORT SERVICES"
38696,"Supply, Installation and Maintenance of Navigational/Communication Equipment",38670,"AVIATION SUPPORT SERVICES"
38699,"Supply and Installation of Aviation Maintenance Equipment",38670,"AVIATION SUPPORT SERVICES"
38702,"Supply, Installation and Maintenance of Air Navigational and Communication Equipment",38670,"AVIATION SUPPORT SERVICES"
38706,"Audit and Taxation Services",2040159,"BANKING AND FINANCIAL SERVICES"
38715,"Banking and Financial Services",2040159,"BANKING AND FINANCIAL SERVICES"
38718,"Financial Services (Audit and Taxation)",2040159,"BANKING AND FINANCIAL SERVICES"
38724,"Calibration of Storage Tanks, Oil and Gas Measurement",38723,"CALIBRATION SERVICES"
38727,"Basic Data Measurement, Relief/Pressure Safety Valves Certification",38723,"CALIBRATION SERVICES"
38730,"Bulk Petroleum Quantity/Quality Measurement and Certification",38723,"CALIBRATION SERVICES"
38733,"Bulk Petroleum Quantity/Quality Measurement and Certification",38723,"CALIBRATION SERVICES"
38736,"Calibrarion of Petroleum Storage Tanks and Pressure Safety Valves Certification",38723,"CALIBRATION SERVICES"
38739,"Calibration of Equipment (Parameters) and Dimensional Instruments",38723,"CALIBRATION SERVICES"
38742,"Calibration of Gas Detectors",38723,"CALIBRATION SERVICES"
38745,"Calibration of Metering Instruments",38723,"CALIBRATION SERVICES"
38748,"Calibration of Metering Systems, Flow Meters and Pressure Gauges",38723,"CALIBRATION SERVICES"
38751,"Calibration of Oil & Gas Measurement Devices and Relief/Pressure Safety Valves Certification",38723,"CALIBRATION SERVICES"
38754,"Calibration of Oil & Gas Measurement Devices and Other Data Measurement",38723,"CALIBRATION SERVICES"
38757,"Calibration of Oil & Gas Measurement Devices",38723,"CALIBRATION SERVICES"
38760,"Calibration of Oil & Gas Measurement Devices and Relief Valves Certification",38723,"CALIBRATION SERVICES"
38763,"Calibration of Petroleum Storage Tanks",38723,"CALIBRATION SERVICES"
38766,"Calibration of Oil & Gas Measurement Devices and Other Basic Data Measurement",38723,"CALIBRATION SERVICES"
38769,"Calibration of Petroleum Storage Tanks, Surface, LPG and Truck Tanks",38723,"CALIBRATION SERVICES"
38772,"Calibration of Petroleum Storage Tanks",38723,"CALIBRATION SERVICES"
38775,"Calibration of Petroleum Storage Tanks and Oil & Gas Measurement Devices",38723,"CALIBRATION SERVICES"
38830,"Calibration of Petroleum Storage Tanks and Relief Valve Certification",38723,"CALIBRATION SERVICES"
38833,"Calibration of Petroleum Storage Tanks and Road Tankers",38723,"CALIBRATION SERVICES"
38836,"Calibration of Petroleum Storage Tanks and Basic Data Measurement",38723,"CALIBRATION SERVICES"
38839,"Calibration of Petroleum Storage Tanks and Flow Meters",38723,"CALIBRATION SERVICES"
38842,"Calibration of Petroleum Storage Tanks and Instruments",38723,"CALIBRATION SERVICES"
38968,"Calibration of Petroleum Storage Tanks and Relief PSV Certification",38723,"CALIBRATION SERVICES"
38971,"Calibration of Petroleum Storage Tanks and Relief/Pressure Safety Valves Certification",38723,"CALIBRATION SERVICES"
38984,"Calibration of Petroleum Storage Tanks and Relief/Pressure Safety Valves",38723,"CALIBRATION SERVICES"
38987,"Calibration of Pressure/Safety Tanks and Oil and Gas Measurement",38723,"CALIBRATION SERVICES"
38990,"Calibration of Pressure Guages, Chart Recorder/Oil & Gas Measurement",38723,"CALIBRATION SERVICES"
38993,"Calibration of Pressure Safety Valves, Guages and Recorders",38723,"CALIBRATION SERVICES"
38996,"Calibration of Proverloops, Meters and Fiscal Instruments",38723,"CALIBRATION SERVICES"
38999,"Calibration of Relief/Pressure Safety Valves",38723,"CALIBRATION SERVICES"
39002,"Calibration of Road Truck and Underground Tanks",38723,"CALIBRATION SERVICES"
39005,"Calibration of Storage Tanks",38723,"CALIBRATION SERVICES"
39012,"Instrumentation and Control Systems Services",38723,"CALIBRATION SERVICES"
39017,"Laboratory Equipment, Maintenance and Calibration",38723,"CALIBRATION SERVICES"
39020,"Marine Vessels Calibration",38723,"CALIBRATION SERVICES"
39023,"Measurement of Tanks (Surface and Underground), Gauges and Lab Equipment",38723,"CALIBRATION SERVICES"
39026,"Metre Calibration",38723,"CALIBRATION SERVICES"
39029,"Oil and Gas Measurement",38723,"CALIBRATION SERVICES"
39032,"Oil and Gas Measurement, Relief/Pressure Safety Valves Certification",38723,"CALIBRATION SERVICES"
39035,"Petroleum Storage Tanks, Relief/Pressure Safety Valves Certification",38723,"CALIBRATION SERVICES"
39038,"Pressure Safety Valves Certification",38723,"CALIBRATION SERVICES"
39045,"Process Control",38723,"CALIBRATION SERVICES"
39048,"Relief/Pressure Safety Valves Certification",38723,"CALIBRATION SERVICES"
39053,"Relief Valves Certification",38723,"CALIBRATION SERVICES"
39056,"Relief/Pressure Safety Valves Certification",38723,"CALIBRATION SERVICES"
39069,"Relief/Pressure Safety Valves Certification and Data Management",38723,"CALIBRATION SERVICES"
39074,"Tanks and Instrument Calibration",38723,"CALIBRATION SERVICES"
39077,"Underground and Motor Vehicle Tanks",38723,"CALIBRATION SERVICES"
39087,"Chemical Supply, (General Purpose, Analar Grade)",39086,"CHEMICAL SERVICES"
39090,"Supply of Chemicals (General Purpose/Analar Grade)",39086,"CHEMICAL SERVICES"
39093,"Supply of General Purpose and Analar Grade Chemicals",39086,"CHEMICAL SERVICES"
39101,"Supply of Calcium Chloride, Isopropyl Alcohol and Industrial Lime/Salt",39096,"CHEMICAL SUPPLY SERVICES"
39104,"Supply of General Purpose and Analar Grade Chemicals/Reagents",39096,"CHEMICAL SUPPLY SERVICES"
39107,"Supply of General Purpose and Analar Grade Chemicals",39096,"CHEMICAL SUPPLY SERVICES"
39122,"Supply of General Purpose and Analar Grade Chemicals/Materials",39096,"CHEMICAL SUPPLY SERVICES"
39125,"Supply of Industrial and Production Chemicals",39096,"CHEMICAL SUPPLY SERVICES"
39131,"Supply of Oil Well Servicing Chemicals (Xylene, Ammonium Chloride)",39096,"CHEMICAL SUPPLY SERVICES"
39134,"Supply of Petro Sorbi, Boom, Mats and Pad",39096,"CHEMICAL SUPPLY SERVICES"
39776,"Nigerian Manpower Supply (Nigerian Professionals Only)",38602,"CONSULTANCY SERVICES"
39779,"Quantity Surveying and Estate Management",38602,"CONSULTANCY SERVICES"
39784,"Legal Services",38602,"CONSULTANCY SERVICES"
39793,"Security Matters",38602,"CONSULTANCY SERVICES"
39796,"Advertising and Public Relations",38602,"CONSULTANCY SERVICES"
40493,"Insurance Brokerage Services",38602,"CONSULTANCY SERVICES"
40504,"Interior and Exterior Decoration",38602,"CONSULTANCY SERVICES"
40509,"Interior Decoration/ Corporate Gifts",38602,"CONSULTANCY SERVICES"
40515,"Investment (Fund) Management",38602,"CONSULTANCY SERVICES"
40539,"Local Content and Community Relations",38602,"CONSULTANCY SERVICES"
40709,"Management Consultancy (Human Capital Development)",38602,"CONSULTANCY SERVICES"
40718,"Manpower Supply, Nigerian Professionals only",38602,"CONSULTANCY SERVICES"
40726,"Manpower Training and Development",38602,"CONSULTANCY SERVICES"
40729,"Media and Publicity Services",38602,"CONSULTANCY SERVICES"
40773,"Media and Publicity, Exhibition",38602,"CONSULTANCY SERVICES"
41307,"Radiation Safety",38602,"CONSULTANCY SERVICES"
41310,"Real Estate Development and Facilities Management",38602,"CONSULTANCY SERVICES"
41313,"Real Estate Development/Management",38602,"CONSULTANCY SERVICES"
41972,"Underwater Inspections and ROV Services",41911,"DIVING SERVICES"
41977,"Underwater Inspections, Hyperbaric and Associated Services",41911,"DIVING SERVICES"
41979,"Underwater Support and Inspection",41911,"DIVING SERVICES"
41992,"Dredging Services, Shore Consolidation",41907,"DREDGING SERVICES"
42005,"Dredging Services, Land Reclamation",41907,"DREDGING SERVICES"
42016,"Dredging Services, Hydraulic Water Channel Maintenance",41907,"DREDGING SERVICES"
42029,"Dredging Services, Land Reclamation/Shore Consolidation",41907,"DREDGING SERVICES"
42037,"Hydraulic Water Channel Maintenance, Land Reclamation",41907,"DREDGING SERVICES"
42039,"Hydraulic Water Channel Maintenance, Shore Consolidation and Land Reclamation",41907,"DREDGING SERVICES"
42042,"Land Reclamation",41907,"DREDGING SERVICES"
42045,"Shore Consolidation",41907,"DREDGING SERVICES"
42051,"Water Channel Maintenance, Shore Consolidation",41907,"DREDGING SERVICES"
42056,"Supply, Hoisting and Operation of Drilling Rigs",42491,"DRILLING/PRODUCTION SERVICES"
42060,"Logging While Drilling (LWD), Measuring While Drilling (MWD)",42059,"DRILLING SERVICES"
42074,"Casing and Tubular Running Services, and Bulking Services",42059,"DRILLING SERVICES"
42080,"Cementing Services and Gravel Pack Services",42059,"DRILLING SERVICES"
42088,"Coiled Tubing, Nitrogen and Filtration Services",42059,"DRILLING SERVICES"
42097,"Deep Offshore Oil and Gas Logistics Support",42059,"DRILLING SERVICES"
42099,"Directional Drilling and MWD/LWD",42059,"DRILLING SERVICES"
42111,"Directional Drilling, MWD/LWD and Directional Survey",42059,"DRILLING SERVICES"
42119,"Directional Drilling, Workover and Well Completion Operations",42059,"DRILLING SERVICES"
43777,"Supply of Office and Household Equipment",38606,""
43790,"Supply of Office and Household Equipment and Spares",38606,""
43793,"Supply of Oil Tools (Ropes and Valves)",38606,""
43870,"Supply of Personal Protective Equipment (Safety Wears)",38606,""
43877,"Supply of Pigging Equipments and Valves",38606,""
43879,"Supply of Pipeline Fittings, Elbows, Flanges and Tees",38606,""
43884,"Supply of Pipes, Flanges and Channels etc",38606,""
43892,"Supply of Refrigeration and Kitchen Equipment",38606,""
43895,"Supply of Safety Tools (PPE)",38606,""
44506,"Supply, Installation and Maintenance of Oilfield Filtration Equipment",38606,""
44512,"Supply, Installation and Maintenance of Personal Protective Equipment (PPE)",38606,""
44521,"Supply, Installation and Maintenance of Flanges",38606,""
44527,"Supply, Installation and Maintenance of Photovoltaics, Compressors and Valves",38606,""
44529,"Supply, Installation and Maintenance of Pipeline Fittings",38606,""
44537,"Supply, Installation and Maintenance of Pipes, Fittings and Valves",38606,""
44543,"Supply, Installation and Maintenance of Pistons, Valves and similar Control Devices",38606,""
44549,"Supply, Installation and Maintenance of Power Rectifiers and Spare Parts",38606,""
44554,"Supply, Installation and Maintenance of Process Control Field Instrument",38606,""
44557,"Supply, Installation and Maintenance of Process Control Instrument",38606,""
44566,"Supply, Installation and Maintenance of Radar Tank Guaging Systems and Accessories",38606,""
44569,"Supply, Installation and Maintenance of Rotating Machine",38606,""
44123,"Supply, Installation and Maintenance of Air Conditioners and Refridgerators",38606,""
44132,"Supply, Installation and Maintenance of Bolting Equipment",38606,""
44135,"Supply, Installation and Maintenance of Bolts, Nuts and Valves",38606,""
44138,"Supply, Installation and Maintenance of Calibration Equipment",38606,""
44144,"Supply, Installation and Maintenance of CCTV Cameras",38606,""
44146,"Supply, Installation and Maintenance of Circle Breakers, Junction/Terminal Boxes and Cables",38606,""
44149,"Supply, Installation and Maintenance of Cold Rooms and Air Conditioners",38606,""
44207,"Supply, Installation and Maintenance of Communication Equipment and Devices",38606,""
44217,"Supply, Installation and Maintenance of Communication Equipment and Accessories",38606,""
44220,"Supply, Installation and Maintenance of Communication Equipment",38606,""
44223,"Supply, Installation and Maintenance of Completion Packers and Accessories",38606,""
44228,"Supply, Installation and Maintenance of Compressors and Valves",38606,""
44238,"Supply, Installation and Maintenance of Computer Support Equipment",38606,""
44248,"Supply, Installation and Maintenance of Coring Equipment",38606,""
44251,"Supply, Installation and Maintenance of Data Storage and Communication Equipment",38606,""
44317,"Supply, Installation and Maintenance of Electrical Devices",38606,""
44330,"Supply, Installation and Maintenance of Electrical/Electronic Inspection Equipment",38606,""
44342,"Supply, Installation and Maintenance of Fire Extinguisher",38606,""
44361,"Supply, Installation and Maintenance of Fittings, Flanges, Tubings and Valves",38606,""
44368,"Supply, Installation and Maintenance of Flanges, Valves and Bolts",38606,""
44371,"Supply, Installation and Maintenance of Flanges, Valves and Gaskets",38606,""
44572,"Supply, Installation and Maintenance of Safety Relief Valves, Pressure Valves and similar Devices",38606,""
44574,"Supply, Installation and Maintenance of Safety Valves, Bolts and Nuts",38606,""
44577,"Supply, Installation and Maintenance of Scaffoldings",38606,""
44718,"Supply, Installation and Maintenance of Valves, Flanges and Oil Fillers",38606,""
44721,"Supply, Installation and Maintenance of Valves, Flanges and Pistons",38606,""
44729,"Supply, Installation and Maintenance of Valves, Flanges and Measuring/Precision Instruments",38606,""
44732,"Supply, Installation and Maintenance of Valves, Flow Meters, Guages and Accessories",38606,""
44742,"Supply, Installation and Maintenance of Valves, Flanges and Pipe Fittings",38606,""
44747,"Supply, Installation and Maintenance of Valves, Switches and Pipe Fittings",38606,""
44751,"Supply, Installation and Maintenance of Water Distillation Systems",38606,""
44756,"Supply, Installation and Maintenance of Welding Equipment/Fittings",38606,""
44762,"Supply, Installation and Maintenance of Well Services Equipment Tools",38606,""
44771,"Supply and Installation of Accessories and Valves",38606,""
44783,"Supply and Installation of Office and Household Appliances",38606,""
44794,"Supply and Installation of Spare Parts",38606,""
44796,"Supply, Installation and Maintenance of Pipes, Valves and Flanges",38606,""
44811,"Top Tech Dispensing Pumps, SATAM Flow Meters, and Fire Extinguishers",38606,""
44814,"Walk Through Metal Detectors and CCTVs",38606,""
44817,"Wire Rope Sling, Fabrication and Lifting Gears",38606,""
44820,"Supply of Communication Equipment",38606,""
44824,"Supply, Installation and Maintenance of Control System Equipment",43164,"EQUIPMENT/MATERIAL SUPPLY SERVICES"
44831,"Supply of Chemicals (General Purpose/Analar Grade)",43164,"EQUIPMENT/MATERIAL SUPPLY SERVICES"
44835,"Supply, Installation and Maintenance of Fire, Gas and Extinguishing systems",43164,"EQUIPMENT/MATERIAL SUPPLY SERVICES"
44839,"Chemical Supply, (General Purpose, Analar Grade)",43164,"EQUIPMENT/MATERIAL SUPPLY SERVICES"
44845,"Installation and Maintenance of Instrumentation Equipment",43164,"EQUIPMENT/MATERIAL SUPPLY SERVICES"
